"","days","state","new"
"941",24,"Minnesota",114
"942",24,"New Hampshire",57
"943",24,"Alaska",8
"944",24,"Montana",4
"945",24,"Rhode Island",410
"946",25,"California",1136
"947",25,"Illinois",1345
"948",25,"New Jersey",2206
"949",25,"New York",9237
"950",25,"Connecticut",925
"951",25,"Louisiana",586
"952",25,"Ohio",693
"953",25,"Oregon",49
"954",25,"Washington",460
"955",25,"West Virginia",47
"956",25,"Delaware",221
"957",25,"Michigan",768
"958",25,"New Mexico",201
"959",25,"Hawaii",6
"960",25,"Idaho",13
"961",25,"Indiana",570
"962",25,"Vermont",10
"963",25,"Wisconsin",147
"964",25,"Colorado",0
"965",25,"Minnesota",97
"966",25,"New Hampshire",43
"967",26,"California",1425
"968",26,"Illinois",1141
"969",26,"New Jersey",4287
"970",26,"New York",6906
"971",26,"Connecticut",741
"972",26,"Louisiana",462
"973",26,"Ohio",1115
"974",26,"Oregon",59
"975",26,"Washington",259
"976",26,"West Virginia",10
"977",26,"Delaware",0
"978",26,"Michigan",633
"979",26,"New Mexico",47
"980",26,"Hawaii",4
"981",26,"Idaho",4
"982",26,"Indiana",477
"983",26,"Vermont",3
"984",26,"Wisconsin",153
"985",26,"Colorado",743
"986",27,"California",1330
"987",27,"Illinois",1844
"988",27,"New Jersey",3150
"989",27,"New York",11115
"990",27,"Connecticut",412
"991",27,"Louisiana",348
"992",27,"Ohio",1380
"993",27,"Oregon",66
"994",27,"Washington",479
"995",27,"West Virginia",105
"996",27,"Delaware",207
"997",27,"Michigan",576
"998",27,"New Mexico",126
"999",27,"Hawaii",2
"1000",27,"Idaho",64
"1001",27,"Indiana",409
"1002",27,"Vermont",2
"1003",27,"Wisconsin",126
"1004",28,"California",991
"1005",28,"Illinois",1582
"1006",28,"New Jersey",2953
"1007",28,"New York",6103
"1008",28,"Connecticut",1853
"1009",28,"Louisiana",595
"1010",28,"Ohio",1317
"1011",28,"Oregon",47
"1012",28,"Washington",0
"1013",28,"West Virginia",12
"1014",28,"Delaware",186
"1015",28,"Michigan",667
"1016",28,"New Mexico",0
"1017",29,"California",1480
"1018",29,"Illinois",1197
"1019",29,"New Jersey",3881
"1020",29,"New York",5245
"1021",29,"Connecticut",545
"1022",29,"Louisiana",331
"1023",29,"Ohio",806
"1024",29,"Oregon",47
"1025",29,"Washington",449
"1026",29,"West Virginia",6
"1027",30,"California",1334
"1028",30,"Illinois",1156
"1029",30,"New Jersey",3421
"1030",30,"New York",5301
"1031",31,"California",940
"1032",31,"Illinois",1546
"1033",31,"New Jersey",3665
"1034",32,"California",2255
"1035",33,"California",1779
